Postcode,School count,Education sector,School number,Name,Town/city,Longitude,Latitude,medianSoldPrice,numberSold
3161,3,Independent,1163.0,Shelford Girls' Grammar,CAULFIELD,145.011318,-37.877908000000005,1913000.0,120.0
3162,4,Government,4315.0,Caulfield South Primary School,Caulfield South,145.030799,-37.895253000000004,1653000.0,132.0
3162,4,Government,5489.0,Caulfield Primary School,Caulfield South,145.02003080000003,-37.888054,1653000.0,132.0
3162,4,Independent,1902.0,Japanese School of Melbourne,CAULFIELD SOUTH,145.019402,-37.892445,1653000.0,132.0
3162,4,Independent,2077.0,Melbourne Montessori School,CAULFIELD SOUTH,145.025671,-37.888166999999996,1653000.0,132.0
3163,3,Government,2897.0,Carnegie Primary School,Carnegie,145.054505,-37.890739,1208000.0,20.0
3163,3,Government,3449.0,Murrumbeena Primary School,Murrumbeena,145.070409,-37.88617,1208000.0,20.0
3163,3,Government,3703.0,Glen Huntly Primary School,Glen Huntly,145.0462294,-37.89377084,1208000.0,20.0
3165,6,Government,4712.0,Coatesville Primary School,Bentleigh East,145.073631,-37.920083,1273000.0,394.0
3165,6,Government,4778.0,Valkstone Primary School,Bentleigh East,145.057169,-37.914608,1273000.0,394.0
3165,6,Government,4837.0,East Bentleigh Primary School,Bentleigh East,145.069424,-37.934506,1273000.0,394.0
3165,6,Government,5253.0,Southern Autistic School,East Bentleigh,145.0620819,-37.92671866,1273000.0,394.0
3165,6,Government,7255.0,Bentleigh Secondary College,Bentleigh East,145.059798,-37.927357,1273000.0,394.0
3165,6,Catholic,1685.0,St James'  College,BENTLEIGH EAST,145.071365,-37.926472,1273000.0,394.0
3167,3,Government,4716.0,Huntingdale Primary School,Oakleigh South,145.102359,-37.913075,980000.0,93.0
3167,3,Government,4823.0,Oakleigh South Primary School,Oakleigh South,145.0947041,-37.92220601,980000.0,93.0
3167,3,Government,8801.0,South Oakleigh Secondary College,Oakleigh South,145.089768,-37.92232068,980000.0,93.0
3168,3,Government,734.0,Clayton North Primary School,Clayton,145.12266599999998,-37.911944,955000.0,14.0
3168,3,Government,6364.0,Monash Children's Hospital School,Clayton,145.124252,-37.91938,955000.0,14.0
3168,3,Catholic,1531.0,St Peter's School,CLAYTON,145.121859,-37.923140000000004,955000.0,14.0
3169,6,Government,3336.0,Clarinda Primary School,Clarinda,145.102924,-37.926995,782000.0,103.0
3169,6,Government,4384.0,Clayton South Primary School,Clayton South,145.11643999999998,-37.940477,782000.0,103.0
3169,6,Government,4851.0,Westall Primary School,Clayton South,145.135744,-37.942188,782000.0,103.0
3169,6,Government,8470.0,Westall Secondary College,Clayton South,145.136577,-37.940312,782000.0,103.0
3169,6,Independent,2099.0,Heatherton Christian College,CLARINDA,145.11136100000002,-37.957840000000004,782000.0,103.0
3169,6,Independent,2227.0,Fitra Community School,CLAYTON SOUTH,145.139319,-37.944839,782000.0,103.0
3170,4,Government,2172.0,Mulgrave Primary School,Mulgrave,145.19736699999999,-37.932946,890000.0,212.0
3170,4,Government,5427.0,Albany Rise Primary School,Mulgrave,145.172891,-37.928121999999995,890000.0,212.0
3170,4,Government,8462.0,Wellington Secondary College,Mulgrave,145.169378,-37.934467,890000.0,212.0
3170,4,Catholic,1673.0,Mazenod College,MULGRAVE,145.166144,-37.915203999999996,890000.0,212.0
3171,6,Government,4802.0,Heatherhill Primary School,Springvale,145.158148,-37.962648,735000.0,161.0
3171,6,Government,5164.0,Springvale Park Special Developmental School,Springvale,145.1543122,-37.94935521,735000.0,161.0
3171,6,Government,5537.0,Springvale Rise Primary School,Springvale,145.159045,-37.939258,735000.0,161.0
3171,6,Government,5538.0,Spring Parks Primary School,Springvale,145.139507,-37.958843,735000.0,161.0
3171,6,Catholic,1547.0,Killester College,SPRINGVALE,145.152017,-37.959071,735000.0,161.0
3171,6,Independent,1936.0,Minaret College,SPRINGVALE,145.148625,-37.939040000000006,735000.0,161.0
3172,6,Government,4257.0,Dingley Primary School,Dingley Village,145.132498,-37.982602,728000.0,83.0
3172,6,Government,5106.0,Kingswood Primary School,Dingley Village,145.123796,-37.982996,728000.0,83.0
3172,6,Government,5534.0,Keysborough Primary School,Springvale South,145.15241799999998,-37.982628999999996,728000.0,83.0
3172,6,Government,5536.0,Athol Road Primary School,Springvale South,145.149968,-37.971049,728000.0,83.0
3172,6,Government,8867.0,Keysborough Secondary College,Springvale South,145.15983899999998,-37.967017,728000.0,83.0
3172,6,Independent,2102.0,Hoa Nghiem Primary School,SPRINGVALE SOUTH,145.1487888,-37.96694215,728000.0,83.0
3173,6,Government,5533.0,Chandler Park Primary School,Keysborough,145.180477,-37.992396,800000.0,282.0
3173,6,Government,5572.0,Keysborough Gardens Primary School,Keysborough,145.161324,-38.009508000000004,800000.0,282.0
3173,6,Independent,1191.0,Haileybury College,KEYSBOROUGH,145.14643,-37.995979,800000.0,282.0
3173,6,Independent,1923.0,Lighthouse Christian College,KEYSBOROUGH,145.14350100000001,-38.001204,800000.0,282.0
3173,6,Independent,1990.0,Mt Hira College,KEYSBOROUGH,145.175471,-38.013991,800000.0,282.0
3173,6,Independent,2009.0,Haileybury Girls College,KEYSBOROUGH,145.1447668,-37.99554667,800000.0,282.0
3174,10,Government,3675.0,Noble Park Primary School,Noble Park,145.17390600000002,-37.970627,670000.0,59.0
3174,10,Government,4730.0,Harrisfield Primary School,Noble Park,145.17989599999999,-37.954443,670000.0,59.0
3174,10,Government,4807.0,Yarraman Oaks Primary School,Noble Park,145.191525,-37.970289,670000.0,59.0
3174,10,Government,5055.0,Wallarano Primary School,Noble Park,145.17082299999998,-37.979621,670000.0,59.0
3174,10,Government,5120.0,Silverton Primary School,Noble Park North,145.192882,-37.949228999999995,670000.0,59.0
3174,10,Government,5435.0,Carwatha College P-12,Noble Park,145.188726,-37.942845,670000.0,59.0
3174,10,Government,8749.0,Noble Park English Language School,Noble Park,145.178166,-37.971168,670000.0,59.0
3174,10,Government,8813.0,Noble Park Secondary College,Noble Park,145.182369,-37.970209000000004,670000.0,59.0
3174,10,Catholic,1899.0,Nazareth College,NOBLE PARK NORTH,145.195459,-37.940226,670000.0,59.0
3174,10,Independent,2018.0,Berry Street Victoria Inc,NOBLE PARK,145.190186,-37.981547,670000.0,59.0
3177,1,Government,8905.0,Doveton College,Doveton,145.24317299999998,-37.989449,565000.0,22.0
3178,6,Government,5000.0,Rowville Primary School,Rowville,145.237108,-37.922924,871000.0,362.0
3178,6,Government,5281.0,Park Ridge Primary School,Rowville,145.262461,-37.918414,871000.0,362.0
3178,6,Government,5295.0,Karoo Primary School,Rowville,145.263279,-37.905324,871000.0,362.0
3178,6,Government,5345.0,Heany Park Primary School,Rowville,145.24288,-37.933923,871000.0,362.0
3178,6,Government,8734.0,Rowville Secondary College,Rowville,145.2370885,-37.92388682,871000.0,362.0
3178,6,Catholic,1830.0,St Simon's School,ROWVILLE,145.245327,-37.925677,871000.0,362.0
3179,3,Government,1028.0,Scoresby Primary School,Scoresby,145.227501,-37.89395,850000.0,51.0
3179,3,Government,8307.0,Scoresby Secondary College,Scoresby,145.2362,-37.888642,850000.0,51.0
3179,3,Catholic,1697.0,St Jude the Apostle School,SCORESBY,145.225957,-37.889844000000004,850000.0,51.0
3180,3,Government,4990.0,Knox Park Primary School,Knoxfield,145.251402,-37.883627000000004,830000.0,93.0
3180,3,Government,5426.0,Carrington Primary School,Knoxfield,145.246491,-37.891476000000004,830000.0,93.0
3180,3,Government,7823.0,Fairhills High School,Knoxfield,145.259037,-37.87321,830000.0,93.0
3181,4,Government,1896.0,Windsor Primary School,Windsor,144.995689,-37.857298,1395000.0,57.0
3181,4,Government,8231.0,Prahran High School,Windsor,144.9911611,-37.85174882,1395000.0,57.0
3181,4,Catholic,106.0,Presentation College Windsor,WINDSOR,144.99471880000002,-37.85764134,1395000.0,57.0
3181,4,Catholic,1176.0,Our Lady of Lourdes School,PRAHRAN EAST,145.009457,-37.852457,1395000.0,57.0
3182,4,Government,1479.0,St Kilda Primary School,St Kilda,144.98901899999998,-37.870222999999996,2313000.0,24.0
3182,4,Government,2460.0,St Kilda Park Primary School,St Kilda,144.977794,-37.858117,2313000.0,24.0
3182,4,Independent,818.0,St Michael's Grammar School,ST KILDA,144.991548,-37.859549,2313000.0,24.0
3182,4,Independent,2116.0,Cheder Levi Yitzchok Inc,ST KILDA,144.99191000000002,-37.860566999999996,2313000.0,24.0
3183,5,Government,4087.0,Ripponlea Primary School,St Kilda East,145.005054,-37.874608,1670000.0,57.0
3183,5,Catholic,26.0,St Mary’s College Melbourne,ST KILDA EAST,144.997001,-37.859365000000004,1670000.0,57.0
