Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,1160000.0,19.0,1707000.0,890000.0,890000.0,1020000.0,1366000.0,1707000.0,1225000.0,31.0,2468000.0,115000.0,16.0,12.0,628.0,48.0,970.0,350.0
3040,Aberfeldie,647,1500000.0,42.0,4000000.0,682000.0,765000.0,1229000.0,1800000.0,3200000.0,1450000.0,98.0,4050000.0,400000.0,39.0,16.0,500.0,151.0,1600.0,295.0
3042,Airport West,757,1085000.0,22.0,1670000.0,645000.0,657000.0,878000.0,1305000.0,1620000.0,995000.0,53.0,1770000.0,595000.0,27.0,8.0,500.0,49.0,1350.0,240.0
3021,Albanvale,787,600000.0,103.0,1200000.0,380000.0,480000.0,549000.0,655000.0,818000.0,599000.0,302.0,1418000.0,370000.0,31.0,17.0,365.0,227.0,1200.0,245.0
3206,Albert Park,797,2335000.0,12.0,5565000.0,1450000.0,1450000.0,1610000.0,2900000.0,5565000.0,3095000.0,20.0,13000000.0,1450000.0,12.0,6.0,780.0,41.0,1950.0,360.0
3020,Albion,837,638000.0,64.0,840000.0,420000.0,460000.0,560000.0,695000.0,755000.0,600000.0,133.0,998000.0,400000.0,31.0,18.0,380.0,122.0,650.0,290.0
3078,Alphington,1047,1110000.0,15.0,2815000.0,750000.0,750000.0,978000.0,1312000.0,2815000.0,1140000.0,30.0,2850000.0,650000.0,9.0,9.0,610.0,38.0,870.0,285.0
3028,Altona Meadows,1127,623000.0,14.0,727000.0,520000.0,520000.0,550000.0,705000.0,727000.0,650000.0,54.0,810000.0,420000.0,2.0,2.0,400.0,43.0,515.0,320.0
3025,Altona North,1137,765000.0,51.0,1220000.0,595000.0,600000.0,705000.0,853000.0,1030000.0,750000.0,120.0,1400000.0,540000.0,28.0,10.0,470.0,131.0,720.0,290.0
3018,Altona,1057,1060000.0,13.0,2350000.0,820000.0,820000.0,880000.0,1300000.0,2350000.0,998000.0,17.0,2625000.0,830000.0,4.0,3.0,550.0,16.0,800.0,360.0
3022,Ardeer,1507,578000.0,10.0,690000.0,412000.0,412000.0,535000.0,600000.0,690000.0,560000.0,27.0,900000.0,195000.0,5.0,4.0,355.0,34.0,420.0,290.0
3143,Armadale,1587,2445000.0,21.0,3295000.0,1170000.0,1510000.0,1962000.0,2700000.0,3255000.0,2400000.0,43.0,10000000.0,399000.0,18.0,9.0,740.0,65.0,3195.0,360.0
3936,Arthurs Seat,1687,805000.0,46.0,3275000.0,220000.0,572000.0,735000.0,886000.0,2200000.0,795000.0,114.0,5460000.0,200000.0,2.0,1.0,453.0,84.0,1100.0,140.0
3147,Ashburton,1787,1195000.0,24.0,2700000.0,780000.0,805000.0,1020000.0,1358000.0,1652000.0,1361000.0,39.0,2975000.0,799000.0,22.0,16.0,585.0,40.0,1650.0,380.0
3147,Ashwood,1807,1195000.0,24.0,2700000.0,780000.0,805000.0,1020000.0,1358000.0,1652000.0,1361000.0,39.0,2975000.0,799000.0,22.0,16.0,585.0,40.0,1650.0,380.0
3049,Attwood,1857,645000.0,29.0,1700000.0,476000.0,510000.0,575000.0,750000.0,820000.0,583000.0,49.0,2100000.0,470000.0,23.0,15.0,401.0,43.0,600.0,320.0
3034,Avondale Heights,1957,824000.0,50.0,1375000.0,576000.0,622000.0,723000.0,910000.0,1250000.0,780000.0,67.0,2500000.0,360000.0,33.0,24.0,430.0,89.0,750.0,290.0
3183,Balaclava,2197,1210000.0,18.0,2300000.0,615000.0,615000.0,971000.0,1795000.0,2300000.0,1150000.0,31.0,3495000.0,340000.0,18.0,13.0,688.0,44.0,1600.0,280.0
3103,Balwyn,2557,2300000.0,53.0,4010000.0,535000.0,890000.0,1700000.0,2560000.0,3800000.0,2310000.0,107.0,9100000.0,525000.0,34.0,23.0,670.0,67.0,2500.0,325.0
3104,Balwyn North,2597,1749000.0,102.0,4400000.0,826000.0,1237000.0,1500000.0,2300000.0,3380000.0,1898000.0,176.0,5500000.0,1000.0,71.0,46.0,650.0,129.0,2200.0,360.0
3153,Bayswater,3337,730000.0,21.0,1000000.0,451000.0,470000.0,690000.0,787000.0,906000.0,670000.0,47.0,1150000.0,400000.0,7.0,4.0,423.0,42.0,600.0,310.0
3153,Bayswater North,3387,730000.0,21.0,1000000.0,451000.0,470000.0,690000.0,787000.0,906000.0,670000.0,47.0,1150000.0,400000.0,7.0,4.0,423.0,42.0,600.0,310.0
3193,Beaumaris,3547,1739000.0,27.0,3875000.0,783000.0,1250000.0,1505000.0,2235000.0,2453000.0,1995000.0,49.0,6200000.0,1200000.0,22.0,16.0,855.0,30.0,1900.0,430.0
3081,Bellfield,3787,651000.0,19.0,1105000.0,430000.0,430000.0,555000.0,695000.0,1105000.0,599000.0,43.0,900000.0,150000.0,12.0,6.0,400.0,45.0,600.0,260.0
3204,Bentleigh,4117,1450000.0,19.0,2950000.0,418000.0,418000.0,1100000.0,1775000.0,2950000.0,1490000.0,28.0,2995000.0,739000.0,16.0,12.0,650.0,50.0,1190.0,300.0
3165,Bentleigh East,4127,1225000.0,137.0,2045000.0,500000.0,865000.0,1070000.0,1330000.0,1550000.0,1150000.0,178.0,2550000.0,380000.0,89.0,70.0,640.0,230.0,1150.0,330.0
3193,Black Rock,4627,1739000.0,27.0,3875000.0,783000.0,1250000.0,1505000.0,2235000.0,2453000.0,1995000.0,49.0,6200000.0,1200000.0,22.0,16.0,855.0,30.0,1900.0,430.0
3130,Blackburn,4637,1040000.0,31.0,2109000.0,761000.0,915000.0,975000.0,1213000.0,1880000.0,1000000.0,48.0,2500000.0,820000.0,22.0,19.0,460.0,46.0,795.0,360.0
3130,Blackburn North,4657,1040000.0,31.0,2109000.0,761000.0,915000.0,975000.0,1213000.0,1880000.0,1000000.0,48.0,2500000.0,820000.0,22.0,19.0,460.0,46.0,795.0,360.0
3130,Blackburn South,4667,1040000.0,31.0,2109000.0,761000.0,915000.0,975000.0,1213000.0,1880000.0,1000000.0,48.0,2500000.0,820000.0,22.0,19.0,460.0,46.0,795.0,360.0
3942,Blairgowrie,4717,920000.0,42.0,2373000.0,665000.0,690000.0,800000.0,1180000.0,1650000.0,1047000.0,99.0,4000000.0,549000.0,5.0,4.0,450.0,42.0,5800.0,300.0
3196,Bonbeach,5007,950000.0,37.0,2170000.0,615000.0,690000.0,810000.0,1095000.0,1775000.0,893000.0,59.0,2400000.0,200000.0,21.0,17.0,540.0,39.0,1095.0,340.0
3155,Boronia,5327,697000.0,93.0,1200000.0,470000.0,501000.0,640000.0,745000.0,920000.0,650000.0,172.0,1690000.0,350000.0,42.0,28.0,400.0,142.0,620.0,200.0
3128,Box Hill,5477,1239000.0,30.0,1985000.0,904000.0,946000.0,1050000.0,1409000.0,1781000.0,1250000.0,56.0,3000000.0,120000.0,22.0,18.0,535.0,56.0,1400.0,265.0
3129,Box Hill North,5547,1338000.0,16.0,1968000.0,900000.0,900000.0,1082000.0,1691000.0,1968000.0,1490000.0,34.0,2250000.0,975000.0,16.0,12.0,590.0,34.0,850.0,400.0
3128,Box Hill South,5567,1239000.0,30.0,1985000.0,904000.0,946000.0,1050000.0,1409000.0,1781000.0,1250000.0,56.0,3000000.0,120000.0,22.0,18.0,535.0,56.0,1400.0,265.0
3019,Braybrook,5697,643000.0,43.0,1000000.0,540000.0,560000.0,605000.0,743000.0,870000.0,630000.0,73.0,6440000.0,125000.0,18.0,13.0,395.0,90.0,590.0,184.0
3187,Brighton East,5997,1678000.0,73.0,3500000.0,782000.0,935000.0,1325000.0,1900000.0,2920000.0,1733000.0,134.0,5000000.0,790000.0,61.0,40.0,820.0,139.0,2800.0,370.0
3047,Broadmeadows,6127,515000.0,11.0,630000.0,363000.0,363000.0,505000.0,580000.0,630000.0,530000.0,21.0,615000.0,390000.0,9.0,8.0,360.0,18.0,410.0,310.0
3338,Brookfield,6207,415000.0,51.0,3500000.0,275000.0,330000.0,380000.0,500000.0,630000.0,429000.0,286.0,3500000.0,36000.0,3.0,1.0,325.0,147.0,550.0,201.0
3012,Brooklyn,6227,795000.0,35.0,1600000.0,625000.0,645000.0,713000.0,1020000.0,1288000.0,790000.0,62.0,1450000.0,295000.0,27.0,20.0,473.0,78.0,695.0,165.0
3057,Brunswick East,6427,1250000.0,19.0,2229000.0,505000.0,505000.0,930000.0,1600000.0,2229000.0,950000.0,43.0,3000000.0,292000.0,9.0,9.0,600.0,112.0,1300.0,290.0
3055,Brunswick West,6447,1026000.0,28.0,1756000.0,465000.0,545000.0,755000.0,1300000.0,1570000.0,950000.0,69.0,3500000.0,480000.0,27.0,16.0,550.0,120.0,1200.0,250.0
3105,Bulleen,6707,1205000.0,42.0,3030000.0,850000.0,918000.0,1030000.0,1370000.0,2285000.0,1085000.0,79.0,3500000.0,770000.0,31.0,21.0,530.0,85.0,980.0,350.0
3121,Burnley,7117,1278000.0,76.0,3650000.0,735000.0,840000.0,1100000.0,1551000.0,2375000.0,1260000.0,127.0,6000000.0,270000.0,64.0,44.0,680.0,309.0,2600.0,340.0
3125,Burwood,7237,1129000.0,50.0,2470000.0,720000.0,739000.0,935000.0,1460000.0,2150000.0,1180000.0,104.0,2750000.0,600000.0,40.0,29.0,560.0,133.0,900.0,200.0
3151,Burwood East,7327,1105000.0,25.0,1300000.0,725000.0,894000.0,1020000.0,1182000.0,1288000.0,1090000.0,61.0,1310000.0,609000.0,21.0,18.0,470.0,69.0,750.0,175.0
