Postcode,Suburb,ID_Domain,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,5thPercentileSoldPrice,25thPercentileSoldPrice,75thPercentileSoldPrice,95thPercentileSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
3067,Abbotsford,627,1255000.0,23.0,2810000.0,863000.0,935000.0,1050000.0,1410000.0,1886000.0,1100000.0,38.0,2468000.0,700000.0,17.0,12.0,600.0,78.0,900.0,350.0
3040,Aberfeldie,647,1440000.0,71.0,3500000.0,283000.0,430000.0,1095000.0,1800000.0,3100000.0,1250000.0,118.0,4400000.0,289000.0,51.0,25.0,475.0,163.0,1000.0,270.0
3042,Airport West,757,1150000.0,38.0,2870000.0,670000.0,729000.0,850000.0,1290000.0,1480000.0,1030000.0,48.0,2900000.0,590000.0,21.0,13.0,475.0,46.0,850.0,280.0
3021,Albanvale,787,600000.0,107.0,1265000.0,400000.0,450000.0,561000.0,675000.0,830000.0,600000.0,242.0,1900000.0,360000.0,20.0,13.0,350.0,256.0,1200.0,170.0
3206,Albert Park,797,2875000.0,17.0,5900000.0,1235000.0,1235000.0,2310000.0,3620000.0,5900000.0,3000000.0,23.0,9750000.0,1500000.0,13.0,7.0,800.0,32.0,1700.0,385.0
3020,Albion,837,675000.0,49.0,1050000.0,460000.0,490000.0,610000.0,763000.0,991000.0,625000.0,86.0,1000000.0,310000.0,25.0,17.0,370.0,104.0,550.0,300.0
3078,Alphington,1047,1278000.0,20.0,3070000.0,900000.0,900000.0,1040000.0,1440000.0,2000000.0,1200000.0,30.0,2600000.0,830000.0,7.0,6.0,550.0,64.0,1100.0,250.0
3025,Altona North,1137,820000.0,76.0,1210000.0,74000.0,590000.0,744000.0,880000.0,995000.0,800000.0,114.0,3000000.0,580000.0,27.0,6.0,450.0,142.0,895.0,285.0
3018,Altona,1057,940000.0,11.0,1600000.0,830000.0,830000.0,865000.0,1380000.0,1600000.0,960000.0,15.0,1550000.0,800000.0,3.0,1.0,508.0,20.0,700.0,380.0
3022,Ardeer,1507,629000.0,16.0,890000.0,500000.0,500000.0,580000.0,640000.0,890000.0,580000.0,25.0,900000.0,490000.0,5.0,3.0,350.0,39.0,460.0,275.0
3143,Armadale,1587,2550000.0,25.0,8400000.0,1210000.0,1235000.0,1646000.0,3300000.0,6508000.0,2650000.0,39.0,8500000.0,399000.0,9.0,6.0,680.0,65.0,1895.0,320.0
3936,Arthurs Seat,1687,865000.0,65.0,2400000.0,570000.0,620000.0,774000.0,1200000.0,1710000.0,900000.0,126.0,6000000.0,180000.0,4.0,1.0,550.0,34.0,895.0,140.0
3147,Ashburton,1787,1250000.0,25.0,2100000.0,775000.0,851000.0,1095000.0,1350000.0,1595000.0,1125000.0,48.0,2190000.0,680000.0,9.0,4.0,520.0,60.0,995.0,350.0
3147,Ashwood,1807,1250000.0,25.0,2100000.0,775000.0,851000.0,1095000.0,1350000.0,1595000.0,1125000.0,48.0,2190000.0,680000.0,9.0,4.0,520.0,60.0,995.0,350.0
3049,Attwood,1857,600000.0,27.0,875000.0,445000.0,485000.0,555000.0,708000.0,830000.0,583000.0,44.0,1550000.0,420000.0,20.0,13.0,380.0,36.0,570.0,260.0
3034,Avondale Heights,1957,865000.0,33.0,1350000.0,600000.0,620000.0,816000.0,910000.0,1275000.0,810000.0,60.0,12475000.0,600000.0,14.0,10.0,430.0,86.0,685.0,300.0
3183,Balaclava,2197,1645000.0,14.0,3050000.0,1075000.0,1075000.0,1531000.0,2000000.0,3050000.0,1370000.0,33.0,3465000.0,259000.0,9.0,7.0,593.0,70.0,1600.0,280.0
3103,Balwyn,2557,2190000.0,51.0,6150000.0,785000.0,1360000.0,1900000.0,2670000.0,4015000.0,2300000.0,96.0,6050000.0,675000.0,25.0,18.0,703.0,70.0,1500.0,300.0
